GSM,255,1,51481,17585,0,23.9955,49.836,2218,50,1,1459807724,1739687170,0
GSM,255,3,27165,17122,0,30.5145,50.4284,500,50,1,1354216649,1763052665,0
GSM,255,3,27165,18862,0,30.5147,50.4321,500,27,1,1354216649,1763052665,0
GSM,255,3,27006,2933,0,30.6702,50.421,7826,41,1,1354266772,1751810766,0
GSM,255,3,27138,9362,0,30.5671,50.3981,841,27,1,1354281601,1770745622,0
GSM,255,3,36600,8062,0,30.7418,46.4768,500,50,1,1368798369,1752921663,0
GSM,255,3,36600,191,0,30.7459,46.4747,500,50,1,1368798369,1752921663,0
GSM,255,3,36600,62,0,30.743,46.476,1000,17,1,1368798369,1752921663,0
GSM,255,3,38180,8663,0,30.6711,46.4523,1744,50,1,1377137272,1750677604,0
GSM,255,3,38180,38272,0,30.6703,46.4582,1909,50,1,1377137272,1750677561,0
GSM,255,3,38180,9443,0,30.6781,46.4549,3170,50,1,1377137272,1750677604,0
GSM,255,3,38180,38273,0,30.6919,46.459,2330,42,1,1377137272,1751547782,0
GSM,255,3,38180,7663,0,30.6648,46.4612,7809,50,1,1377137272,1750677542,0
GSM,255,3,38180,661,0,30.6749,46.4537,1171,50,1,1377137272,1750677604,0
GSM,255,3,38180,663,0,30.6706,46.4512,7027,34,1,1377137272,1750677604,0
GSM,255,3,38180,9642,0,30.6537,46.4629,2707,25,1,1377137272,1750677542,0
GSM,255,3,38180,552,0,30.6591,46.4541,1695,50,1,1377137272,1751547787,0
GSM,255,3,38180,7532,0,30.6814,46.459,1683,50,1,1377137272,1751547782,0
GSM,255,3,38180,662,0,30.6766,46.4485,4272,48,1,1377137272,1750677561,0
GSM,255,3,38180,26832,0,30.6618,46.4673,3472,42,1,1377137272,1751547787,0
GSM,255,3,38180,553,0,30.6473,46.4687,2632,18,1,1377137272,1751547787,0
GSM,255,3,37003,38953,0,30.6996,46.439,6213,38,1,1377137272,1751547788,0
GSM,255,3,36600,103,0,30.7259,46.4604,8059,13,1,1377137272,1750677496,0
GSM,255,3,37003,9971,0,30.6941,46.4343,5968,10,1,1377137272,1751547787,0
GSM,255,3,38180,83,0,30.6885,46.464,1305,50,1,1377137272,1751547786,0
GSM,255,3,37003,32133,0,30.7381,46.4367,1225,50,1,1377137272,1750677609,0
GSM,255,3,37003,6243,0,30.6962,46.4355,6077,13,1,1377137272,1751547787,0
GSM,255,3,37003,26792,0,30.7105,46.4405,7011,26,1,1377327014,1751547788,0
GSM,255,3,38180,6742,0,30.675,46.4662,8729,48,1,1377327014,1751547786,0
GSM,255,3,37003,26372,0,30.6985,46.4331,5819,25,1,1377327014,1751547787,0
GSM,255,3,37003,9652,0,30.7227,46.4292,6670,35,1,1377327014,1751547789,0
GSM,255,3,37002,2533,0,30.783,46.5801,13365,42,1,1377337038,1750677611,0
GSM,255,3,37003,22793,0,30.7102,46.4479,10540,33,1,1377337038,1751547796,0
GSM,255,3,38180,8551,0,30.6579,46.4712,6304,47,1,1377337038,1751547787,0
GSM,255,3,36600,2803,0,30.7232,46.4708,16099,40,1,1377346430,1750677606,0
GSM,255,3,36600,8611,0,30.7405,46.4591,500,50,1,1380317103,1750677487,0
GSM,255,3,36600,27262,0,30.7402,46.461,842,50,1,1380317103,1750677608,0
GSM,255,3,36600,27263,0,30.7401,46.4623,987,50,1,1380317103,1750677608,0
GSM,255,3,36600,9383,0,30.7393,46.4638,1155,50,1,1380317103,1750677608,0
GSM,255,3,36600,8331,0,30.7404,46.4664,1323,47,1,1380317103,1750677607,0
GSM,255,3,36600,9572,0,30.738,46.4696,1002,49,1,1380317103,1750677607,0
GSM,255,3,36600,27261,0,30.7418,46.4629,1255,39,1,1380317103,1750677607,0
GSM,255,3,36600,613,0,30.7355,46.4584,573,50,1,1380317103,1750677487,0
GSM,255,3,36600,9573,0,30.7363,46.4732,764,44,1,1380317103,1752921663,0
GSM,255,3,36600,19802,0,30.7337,46.4728,1011,36,1,1380317103,1750677548,0
GSM,255,3,36600,8063,0,30.7373,46.4767,516,49,1,1380317103,1752921663,0
GSM,255,3,36600,19911,0,30.7313,46.484,500,50,1,1380317104,1750677492,0
GSM,255,3,36600,8191,0,30.7474,46.4746,534,50,1,1380317104,1752921663,0
GSM,255,3,36600,7312,0,30.7431,46.4548,500,50,1,1380317104,1750677486,0
GSM,255,3,36600,9533,0,30.7455,46.4558,500,50,1,1380317104,1750677486,0
GSM,255,3,37003,19552,0,30.743,46.4501,500,50,1,1380317104,1750677486,0
GSM,255,3,37003,9373,0,30.7458,46.4387,757,50,1,1380317104,1750677485,0
GSM,255,3,48126,9052,0,35.0643,48.4487,6562,28,1,1381404875,1758366785,0
GSM,255,3,36600,8032,0,30.7273,46.4765,866,30,1,1381734943,1752921663,0
GSM,255,3,36600,19803,0,30.7279,46.4728,674,50,1,1381734943,1750677606,0
GSM,255,3,36600,19801,0,30.7328,46.4763,500,50,1,1381734943,1752921663,0
GSM,255,3,36600,9563,0,30.7279,46.4718,656,50,1,1381734944,1750677606,0
GSM,255,3,36600,9562,0,30.73,46.4605,961,43,1,1381734944,1750677496,0
GSM,255,3,36600,7161,0,30.7291,46.4608,990,50,1,1381734944,1750677553,0
GSM,255,3,36600,9561,0,30.7339,46.469,554,37,1,1381734944,1750677487,0
GSM,255,3,36600,7761,0,30.7247,46.4731,638,50,1,1381734944,1750677606,0
GSM,255,3,36600,8033,0,30.7234,46.4757,587,50,1,1381734944,1752921663,0
GSM,255,3,36600,9682,0,30.7291,46.475,500,50,1,1381991387,1752921663,0
GSM,255,3,36600,8333,0,30.7356,46.4705,560,50,1,1381991387,1750677606,0
GSM,255,3,36600,8031,0,30.7267,46.4783,521,30,1,1382081528,1752921663,0
GSM,255,3,36600,7123,0,30.7383,46.4751,1000,14,1,1382168632,1752921663,0
GSM,255,3,36600,7122,0,30.739,46.4752,1000,16,1,1382168632,1752921663,0
GSM,255,3,36600,7121,0,30.741,46.4756,1000,11,1,1382168632,1752921663,0
GSM,255,3,36600,37122,0,30.7525,46.4772,529,33,1,1382168632,1752921662,0
GSM,255,3,36600,38423,0,30.7528,46.4747,1000,24,1,1382168632,1752921662,0
GSM,255,3,36600,38421,0,30.7569,46.4758,500,50,1,1382168632,1752921662,0
GSM,255,3,36600,9271,0,30.7605,46.477,1000,13,1,1382168632,1752921662,0
GSM,255,3,36600,9273,0,30.7582,46.4765,3504,19,1,1382168632,1752921664,0
GSM,255,3,36600,9571,0,30.7362,46.4722,822,37,1,1382168632,1750677606,0
GSM,255,3,36600,9681,0,30.7341,46.4766,662,50,1,1382209953,1752921663,0
GSM,255,3,36600,7162,0,30.7299,46.4574,1000,20,1,1382209953,1750677553,0
GSM,255,3,36600,8613,0,30.7349,46.4581,632,50,1,1382209953,1750677487,0
GSM,255,3,37003,8181,0,30.7291,46.453,902,33,1,1382209953,1750677553,0
GSM,255,3,37003,8183,0,30.7256,46.4461,690,29,1,1382209953,1751547795,0
GSM,255,3,37003,38523,0,30.7262,46.4464,5989,36,1,1382209954,1751547795,0
GSM,255,3,37003,18723,0,30.727,46.4388,3887,29,1,1382209954,1750677545,0
GSM,255,3,37003,38522,0,30.7278,46.4408,1331,50,1,1382209954,1751547795,0
GSM,255,3,37003,9651,0,30.7275,46.4321,597,50,1,1382209954,1751547789,0
GSM,255,3,38180,26042,0,30.7201,46.48,1927,44,1,1382512612,1752921663,0
GSM,255,1,1801,5402,0,30.3931,50.4605,5065,27,1,1383659855,1771309429,0
GSM,255,1,1801,22282,0,30.3855,50.457,6684,27,1,1383659855,1759725064,0
GSM,255,1,1801,22283,0,30.3551,50.4572,26021,50,1,1383659855,1739687154,0
GSM,255,1,1801,5241,0,30.3354,50.453,28320,50,1,1383659855,1750225449,0
GSM,255,1,1801,5243,0,30.3445,50.4546,9736,27,1,1383659855,1750050163,0
GSM,255,1,1801,22873,0,30.3565,50.4553,1000,16,1,1383659855,1763009886,0
GSM,255,1,1801,2283,0,30.3675,50.4571,1043,50,1,1383659858,1755491469,0
GSM,255,3,36600,7313,0,30.7412,46.4606,1000,14,1,1384792850,1750677487,0
GSM,255,3,37002,7043,0,30.7971,46.577,829,25,1,1238822793,1750677611,0
GSM,255,3,36600,333,0,30.7357,46.4709,574,46,1,1238823108,1750677606,0
GSM,255,3,27006,28342,0,30.6433,50.3795,2095,21,1,1238823811,1760632084,0
GSM,255,3,37003,27943,0,30.7437,46.4421,1000,18,1,1238823964,1750677608,0
GSM,255,3,37003,27702,0,30.7374,46.4228,582,44,1,1238823968,1750677546,0
GSM,255,3,37003,6051,0,30.7351,46.426,1417,42,1,1238823971,1750677546,0
GSM,255,3,37002,9791,0,30.7836,46.5821,500,50,1,1238824199,1750677611,0
GSM,255,3,37002,7833,0,30.7868,46.5812,1000,12,1,1238824199,1750677611,0
GSM,255,3,37002,19532,0,30.7882,46.5793,1000,13,1,1238824199,1750677611,0
GSM,255,3,37002,7831,0,30.7907,46.5797,1000,9,1,1238824200,1750677611,0
GSM,255,3,37003,6242,0,30.7071,46.4289,843,50,1,1238824263,1751547787,0
GSM,255,3,37003,26371,0,30.7011,46.4375,1000,21,1,1238824263,1751547788,0
GSM,255,3,37003,8072,0,30.7058,46.4402,694,37,1,1238824264,1751547788,0
GSM,255,3,37003,9431,0,30.701,46.4283,732,50,1,1238824265,1751547787,0
GSM,255,3,37003,72,0,30.7056,46.4397,737,33,1,1238824266,1751547788,0
GSM,255,3,37003,8253,0,30.7048,46.4335,770,25,1,1238824267,1751547787,0
GSM,255,3,37003,6052,0,30.7363,46.4233,5639,44,1,1238824314,1750677546,0
GSM,255,3,36600,331,0,30.7387,46.4692,672,35,1,1368529142,1750677607,0
GSM,255,3,27009,17143,0,30.6176,50.4482,1278,50,1,1369161524,1745776261,0
GSM,255,3,38180,9831,0,30.7091,46.4848,986,50,1,1371160190,1751547798,0
GSM,255,3,38180,38073,0,30.72,46.4885,816,50,1,1372764283,1750677493,0
GSM,255,3,27006,7173,0,30.6551,50.4168,1993,28,1,1373408738,1751810766,0
GSM,255,3,27017,27562,0,30.3706,50.4635,722,50,1,1375021165,1745768826,0
GSM,255,3,34001,881,0,33.1094,48.7438,6663,16,1,1376665637,1763192165,0
GSM,255,3,27165,19381,0,30.5181,50.4247,500,50,1,1378503323,1763052665,0
GSM,255,3,27006,12171,0,30.6664,50.4227,1000,15,1,1378927242,1751810765,0
GSM,255,3,47080,2673,0,34.2937,48.5462,1013,18,1,1379990262,1766522225,0
GSM,255,3,34001,4383,0,33.3078,48.6155,17973,7,1,1379996667,1766522224,0
GSM,255,3,34001,2413,0,33.1766,48.604,7215,18,1,1379997137,1766522224,0
GSM,255,3,32067,1291,0,31.9956,49.1431,14070,9,1,1380004540,1763192164,0
GSM,255,1,1802,1711,0,30.4988,50.5114,1853,50,1,1383774290,1750050182,0
GSM,255,3,47146,17352,0,35.0448,48.4319,3580,50,1,1384788044,1759688582,0
